api_name,support_status,hit_count,priority,notes,sample_strategies
set_option,fully_supported,420,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt"
set_benchmark,fully_supported,379,low,已完整支持，无需额外工作,"01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt"
run_daily,fully_supported,347,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt"
set_order_cost,fully_supported,326,low,已完整支持，无需额外工作,"01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,02 ETF动量轮动RSRS择时-魔改3小优化.txt"
order_target_value,fully_supported,324,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt"
get_current_data,fully_supported,315,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt"
query,fully_supported,242,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt"
set_slippage,fully_supported,233,low,已完整支持，无需额外工作,"01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,02 ETF动量轮动RSRS择时-魔改3小优化.txt"
get_all_securities,fully_supported,211,low,已完整支持，无需额外工作,"01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,01 首板低开策略.txt"
get_security_info,fully_supported,207,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 首板低开策略.txt"
get_price,fully_supported,202,low,已完整支持，无需额外工作,"01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,01 首板低开策略.txt"
get_fundamentals,fully_supported,201,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt"
order_target,fully_supported,167,low,已完整支持，无需额外工作,"01 龙回头3.0回测速度优化版.txt,02 龙头底分型战法-两年23倍.txt,03 5年15倍的收益，年化79.93%，可实盘，拿走不谢！.txt"
attribute_history,fully_supported,164,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 龙回头3.0回测速度优化版.txt,02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt"
history,fully_supported,158,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt"
order_value,fully_supported,130,low,已完整支持，无需额外工作,"01 7年40倍模拟超过两年年化高回撤低.txt,02 连板龙头策略.txt,02 龙头底分型战法-两年23倍.txt"
