file_path,file_name,file_type,scan_status,run_status,is_executable,in_scope,has_initialize,has_handle,missing_apis,error_message,scan_timestamp
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/15 10年52倍，年化59%，全新因子方法超稳定.txt,15 10年52倍，年化59%，全新因子方法超稳定.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.556434
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/70 超稳的股息率+均线选股策略.txt,70 超稳的股息率+均线选股策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.559499
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/42 实盘出现的问题和解决办法.txt,42 实盘出现的问题和解决办法.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.562507
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/69 神虽顶底+趋势.txt,69 神虽顶底+趋势.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.566187
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/51 “四大搅屎棍策略”学习笔记-有魔改.txt,51 “四大搅屎棍策略”学习笔记-有魔改.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.571709
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/40 RSI学习贴.txt,40 RSI学习贴.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.571868
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/98 追涨大师（超额142）.txt,98 追涨大师（超额142）.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.573294
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/13 【涨停研究三】连板股票收益统计与回测.txt,13 【涨停研究三】连板股票收益统计与回测.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.575331
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/16 ETF轮动策略升级-多类别-低回撤.txt,16 ETF轮动策略升级-多类别-低回撤.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.575448
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/72 【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限.txt,72 【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.578601
