date,nav,drawdown
0,100000.0,0.0
1,100000.0,0.0
2,100000.0,0.0
3,100000.0,0.0
4,100000.0,0.0
5,100000.0,0.0
6,100000.0,0.0
7,100000.0,0.0
8,100000.0,0.0
9,100000.0,0.0
10,100000.0,0.0
11,100000.0,0.0
12,100000.0,0.0
13,100000.0,0.0
14,100000.0,0.0
15,100000.0,0.0
16,100000.0,0.0
17,100000.0,0.0
18,100000.0,0.0
19,100000.0,0.0
20,100000.0,0.0
21,100000.0,0.0
22,100000.0,0.0
23,100000.0,0.0
24,100000.0,0.0
25,100000.0,0.0
26,100000.0,0.0
27,100000.0,0.0
28,100000.0,0.0
29,100000.0,0.0
30,100000.0,0.0
31,100000.0,0.0
32,100000.0,0.0
33,100000.0,0.0
34,100000.0,0.0
35,100000.0,0.0
36,100000.0,0.0
37,100000.0,0.0
38,100000.0,0.0
39,100000.0,0.0
40,100000.0,0.0
41,100000.0,0.0
42,100000.0,0.0
43,100000.0,0.0
44,100000.0,0.0
45,100000.0,0.0
46,100000.0,0.0
47,100000.0,0.0
48,100000.0,0.0
49,100000.0,0.0
50,100000.0,0.0
51,100000.0,0.0
52,100000.0,0.0
53,100000.0,0.0
54,100000.0,0.0
55,100000.0,0.0
56,100000.0,0.0
57,100000.0,0.0
