date,nav,drawdown
0,1000000.0,0.0
1,1003907.9376599999,0.0
2,988990.70766,-0.01485916132386643
3,995901.0776600001,-0.007975691494842632
4,1007064.0376599999,0.0
5,1006908.1076600001,-0.00015483623103267115
6,1005705.5976599999,-0.0013489112401992955
7,987337.0676599998,-0.01958859542421692
8,977349.79766,-0.029505809848044493
9,995210.3176599997,-0.011770572234456256
10,1003700.4776599999,-0.003339966351907052
11,1007156.4876600001,0.0
12,1027934.4476600001,0.0
13,1027062.0676600001,-0.0008486727942486011
14,1026951.4976599999,-0.0009562380191049957
15,1003130.71766,-0.02412968069750318
16,1008967.6876599999,-0.018451332225684472
17,991050.1376599999,-0.03588196706897407
18,974754.31766,-0.05173494294413412
19,1002293.7376600001,-0.02494391549808329
20,1002605.3176600001,-0.024640802784321007
21,1023598.17766,-0.004218430474697239
22,1024429.75766,-0.0034094489273884835
23,1017216.60766,-0.01042657926718798
24,1006622.99766,-0.020732304524392252
25,1003976.8376600001,-0.023306554279348572
26,1012351.7376599999,-0.015159244867678895
27,1014387.3476599999,-0.013178953221033655
28,1030079.2076600001,0.0
29,1029853.9276599998,-0.0002187016283068392
30,1011222.7576599999,-0.01830582528001494
31,1010034.3676599999,-0.019459513259699183
32,988547.7076599998,-0.04031874412293603
33,990255.0076599999,-0.03866129876601201
34,996591.92766,-0.032509422334688294
35,1006992.29766,-0.022412752173151685
36,998131.84766,-0.03101446933636682
37,1000072.4776600001,-0.02913050741812891
38,981021.62766,-0.0476250560492748
39,948826.3176599998,-0.07888023503025558
40,927089.0276599999,-0.09998277727977818
41,926686.6676599998,-0.10037338801826123
42,925865.27766,-0.10117079271674621
43,923888.5076599999,-0.1030898393155905
44,885367.03766,-0.1404864489292414
45,828053.4776599999,-0.19612640319081479
46,876426.7076600001,-0.14916571352706726
47,896047.2876599999,-0.13011807150682755
48,911276.64766,-0.1153334220480775
49,908257.61766,-0.1182642937495443
50,915650.1476599999,-0.11108763204719492
51,921346.50766,-0.1055576107074376
52,918056.12766,-0.10875190875319145
53,901309.6776599998,-0.1250093478660948
54,900230.26766,-0.12605723815644623
55,893790.1176599998,-0.13230933018209748
56,917704.9176599999,-0.10909286311610682
57,916226.14766,-0.11052845174754729
58,924678.85766,-0.10232256822214177
59,926349.11766,-0.10070108126504233
60,923133.1976600001,-0.10382309360747707
61,928687.1976600001,-0.09843127523205636
62,914456.58766,-0.11224633905838809
63,922676.10766,-0.10426683618241793
64,919593.2276600001,-0.10725969340842018
65,926432.0276600001,-0.10062059230906341
66,929753.92766,-0.09739569467469006
67,914013.0676600002,-0.11267690788911647
68,910428.41766,-0.11615688299524765
69,908355.9976600001,-0.11816878653100368
70,907306.13766,-0.11918798970702452
71,912524.86766,-0.11412165115636567
72,890187.3576600002,-0.13580688646049655
73,884020.2876600001,-0.14179387265936333
74,887470.4076600003,-0.13844449916037033
75,893588.7576600001,-0.13250481029518224
76,900260.9776600001,-0.12602742491512292
77,904336.90766,-0.1220705156117509
78,894161.92766,-0.13194837735707649
79,884728.5276600001,-0.1411063138825884
80,889765.0776600002,-0.13621683551767566
81,889685.2776600001,-0.13629430528835604
82,883731.7276600001,-0.14207400645670068
83,892141.8476600002,-0.1339094692662985
84,886725.0576600002,-0.1391680842929091
85,894154.5776600002,-0.13195551273069164
86,890910.2576600001,-0.13510509576845636
87,890033.7676600001,-0.13595599149907797
88,900896.89766,-0.12541007433152604
89,892036.4976600001,-0.13401174295478446
90,887020.3276600002,-0.13888143643340053
91,887720.9476600001,-0.13820127514600647
92,889599.3676600002,-0.1363777066417287
93,891308.86766,-0.13471812552671603
94,894318.9976600001,-0.131795893937518
95,900191.5576600002,-0.12609481779081996
96,900045.87766,-0.12623624380827264
97,896167.3876600002,-0.1300014785311542
98,898366.3876600002,-0.12786669124135402
99,898572.43766,-0.12766665808034314
100,902925.92766,-0.12344029377007842
101,902953.17766,-0.12341383949374962
102,907057.43766,-0.11942942745098688
103,893846.8476600002,-0.13225425674737656
104,902797.9576600001,-0.12356452693491501
105,914366.2376600001,-0.11233405075990384
106,907501.0076600001,-0.11899881008030165
107,915442.56766,-0.11128915053087687
108,915313.9776600001,-0.11141398559117478
109,919210.2676600001,-0.10763147064375522
110,912954.2276600001,-0.11370482884133665
111,917446.37766,-0.10934385352352144
112,925424.6076600002,-0.10159859476995033
113,929707.66766,-0.09744060384250551
114,930317.85766,-0.09684823192055779
115,929568.14766,-0.09757604973730905
116,935534.2176600001,-0.09178419416384008
