path,file_name,kind,in_scope,scan_status,run_status,root_cause,scan_timestamp
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 7年40倍模拟超过两年年化高回撤低.txt,01 7年40倍模拟超过两年年化高回撤低.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.257842
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.260418
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.262722
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 首板低开策略.txt,01 首板低开策略.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.265206
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 龙回头3.0回测速度优化版.txt,01 龙回头3.0回测速度优化版.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.268445
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.271392
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 ETF动量轮动RSRS择时-魔改3小优化.txt,02 ETF动量轮动RSRS择时-魔改3小优化.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.273107
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 研究 板块轮动打分与热度追踪.ipynb,02 研究 板块轮动打分与热度追踪.ipynb,notebook,False,excluded_notebook,not_applicable,研究文档/notebook，非可执行策略,2026-04-04T09:50:22.273110
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 连板龙头策略.txt,02 连板龙头策略.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.276514
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 龙头底分型战法-两年23倍.txt,02 龙头底分型战法-两年23倍.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.281107
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 5年15倍的收益，年化79.93%，可实盘，拿走不谢！.txt,03 5年15倍的收益，年化79.93%，可实盘，拿走不谢！.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.284738
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 一个简单而持续稳定的懒人超额收益策略.txt,03 一个简单而持续稳定的懒人超额收益策略.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.285384
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 多策略融合-80倍.txt,03 多策略融合-80倍.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.297451
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 截止到21年12月依然有效的小市值适配因子.txt,03 截止到21年12月依然有效的小市值适配因子.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.299287
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 高评分ETF策略之核心资产轮动.txt,03 高评分ETF策略之核心资产轮动.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.300226
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖_测试版.txt,04 红利搬砖_测试版.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.300868
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖_简化测试版.txt,04 红利搬砖_简化测试版.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.301288
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖，年化29%.txt,04 红利搬砖，年化29%.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.302287
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 苦咖啡-默默赚钱系列-改.txt,04 苦咖啡-默默赚钱系列-改.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.303291
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 集合竞价摸奖策略1.0-致敬2022.txt,04 集合竞价摸奖策略1.0-致敬2022.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.306861
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 首板低开策略.txt,04 首板低开策略.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.309333
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 高股息低市盈率高增长的价投策略.txt,04 高股息低市盈率高增长的价投策略.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.311769
"/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/05 8年10倍回撤小,有滑点,ETF动量简单轮动策略.txt","05 8年10倍回撤小,有滑点,ETF动量简单轮动策略.txt",jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.314588
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/05 价值低波（下）--十年十倍（2020拜年）.txt,05 价值低波（下）--十年十倍（2020拜年）.txt,jq_strategy_txt,True,valid,executable,OK,2026-04-04T09:50:22.315646
