2022-01-05, ORDER EXECUTED, sz000001, 14.50, Size: 1959
2022-01-05, ORDER EXECUTED, sz000002, 18.77, Size: 1517
2022-01-05, ORDER EXECUTED, sz000063, 31.41, Size: 909
2022-01-05, ORDER EXECUTED, sz000100, 5.39, Size: 5281
2022-01-05, ORDER EXECUTED, sz000157, 5.76, Size: 4968
2022-01-05, ORDER EXECUTED, sz000166, 4.84, Size: 5890
2022-01-05, ORDER EXECUTED, sz000301, 18.76, Size: 1522
2022-01-05, ORDER EXECUTED, sz000333, 64.26, Size: 444
2022-01-05, ORDER EXECUTED, sz000338, 15.66, Size: 1824
2022-01-05, ORDER EXECUTED, sz000408, 31.56, Size: 877
2022-01-05, ORDER EXECUTED, sz000425, 5.30, Size: 5380
2022-01-05, ORDER EXECUTED, sz000538, 66.14, Size: 429
2022-01-05, ORDER EXECUTED, sz000568, 227.84, Size: 123
2022-01-05, ORDER EXECUTED, sz000596, 221.30, Size: 130
2022-01-05, ORDER EXECUTED, sz000617, 4.70, Size: 6078
2022-01-05, ORDER EXECUTED, sz000625, 10.73, Size: 2660
2022-01-05, ORDER EXECUTED, sz000630, 3.16, Size: 9070
2022-01-05, ORDER EXECUTED, sz000651, 26.28, Size: 1088
2022-01-05, ORDER EXECUTED, sz000661, 261.20, Size: 109
2022-01-05, ORDER EXECUTED, sz000708, 18.16, Size: 1573
2022-01-05, ORDER EXECUTED, sz000725, 4.73, Size: 6040
2022-01-05, ORDER EXECUTED, sz000768, 37.40, Size: 765
2022-01-05, ORDER EXECUTED, sz000776, 22.55, Size: 1264
2022-01-05, ORDER EXECUTED, sz000786, 31.82, Size: 893
2022-01-05, ORDER EXECUTED, sz000792, 33.20, Size: 845
2022-01-05, ORDER EXECUTED, sz000807, 9.91, Size: 2874
2022-01-05, ORDER EXECUTED, sz000858, 203.04, Size: 140
2022-01-05, ORDER EXECUTED, sz000876, 16.18, Size: 1765
2022-01-05, ORDER EXECUTED, sz000895, 25.90, Size: 1095
2022-01-05, ORDER EXECUTED, sz000938, 22.47, Size: 1268
2022-01-05, ORDER EXECUTED, sz000963, 39.57, Size: 717
2022-01-05, ORDER EXECUTED, sz002709, 53.66, Size: 525
2022-01-05, ORDER EXECUTED, sz002714, 54.42, Size: 524
2022-01-05, ORDER EXECUTED, sz002736, 9.95, Size: 2871
2022-01-05, ORDER EXECUTED, sz002916, 89.05, Size: 315
2022-01-25, ORDER FAILED, sz000661, Status: Margin
2022-01-26, ORDER FAILED, sz000661, Status: Margin
2022-01-27, ORDER FAILED, sz000661, Status: Margin
2022-02-08, ORDER FAILED, sz000661, Status: Margin
2022-02-09, ORDER FAILED, sz000661, Status: Margin
2022-02-10, ORDER FAILED, sz000661, Status: Margin
2022-02-11, ORDER FAILED, sz000661, Status: Margin
2022-02-14, ORDER FAILED, sz000661, Status: Margin
2022-02-15, ORDER FAILED, sz000661, Status: Margin
2022-02-23, ORDER EXECUTED, sz000807, 12.73, Size: -814
2022-03-08, ORDER EXECUTED, sz000630, 3.72, Size: -2463
2022-04-26, ORDER EXECUTED, sz000661, 127.35, Size: 59
2022-06-15, ORDER EXECUTED, sz000625, 13.44, Size: -803
2022-06-21, ORDER EXECUTED, sz000661, 207.95, Size: -45
2022-06-29, ORDER EXECUTED, sz000625, 19.64, Size: -500
2022-08-10, ORDER EXECUTED, sz000301, 22.60, Size: -421
2022-09-27, ORDER EXECUTED, sz000596, 248.38, Size: -38
2022-09-29, ORDER EXECUTED, sz000338, 7.99, Size: 1055
2022-10-19, ORDER EXECUTED, sz000963, 43.34, Size: -190
2022-11-01, ORDER EXECUTED, sz000301, 12.15, Size: 639
2022-11-18, ORDER EXECUTED, sz000625, 11.14, Size: 732
2022-11-25, ORDER EXECUTED, sz000617, 5.14, Size: -1599
2022-12-06, ORDER EXECUTED, sz000617, 7.84, Size: -1275
2023-03-03, ORDER EXECUTED, sz000425, 6.86, Size: -1517
2023-03-14, ORDER EXECUTED, sz000938, 27.29, Size: -339
2023-04-18, ORDER EXECUTED, sz000651, 33.10, Size: -291
2023-06-13, ORDER EXECUTED, sz000661, 129.31, Size: 66
2023-06-20, ORDER EXECUTED, sz000063, 38.70, Size: -252
2023-06-20, ORDER EXECUTED, sz000792, 19.26, Size: 466
2023-06-21, ORDER EXECUTED, sz000938, 35.99, Size: -242
2023-08-22, ORDER EXECUTED, sz002916, 48.86, Size: 187
2023-09-11, ORDER EXECUTED, sz002709, 28.90, Size: 337
2023-09-26, ORDER EXECUTED, sz000938, 23.28, Size: 374
2023-10-17, ORDER EXECUTED, sz000338, 11.80, Size: -830
2023-11-10, ORDER EXECUTED, sz000625, 15.65, Size: -577
2024-01-03, ORDER EXECUTED, sz000001, 7.63, Size: 1069
2024-01-09, ORDER EXECUTED, sz000063, 22.24, Size: 357
2024-01-16, ORDER EXECUTED, sz000768, 18.98, Size: 413
2024-01-17, ORDER EXECUTED, sz000002, 9.57, Size: 835
2024-01-18, ORDER EXECUTED, sz000157, 6.17, Size: -1401
2024-02-26, ORDER EXECUTED, sz000876, 8.66, Size: 960
2024-03-08, ORDER EXECUTED, sz000963, 29.74, Size: 299
2024-03-11, ORDER EXECUTED, sz002916, 66.60, Size: -132
2024-03-26, ORDER EXECUTED, sz000776, 12.61, Size: 683
2024-04-12, ORDER EXECUTED, sz000338, 16.44, Size: -532
2024-04-19, ORDER EXECUTED, sz000002, 6.78, Size: 1360
2024-05-15, ORDER EXECUTED, sz000301, 9.71, Size: 944
2024-05-24, ORDER EXECUTED, sz000002, 9.29, Size: -1026
2024-06-11, ORDER EXECUTED, sz002709, 18.59, Size: 480
2024-07-09, ORDER EXECUTED, sz000568, 121.60, Size: 67
2024-07-11, ORDER EXECUTED, sz002916, 91.91, Size: -115
2024-08-26, ORDER EXECUTED, sz000661, 77.05, Size: 102
2024-08-29, ORDER EXECUTED, sz000596, 153.98, Size: 53
2024-09-19, ORDER EXECUTED, sz000651, 36.01, Size: -211
2024-09-19, ORDER EXECUTED, sz000858, 99.42, Size: 75
2024-12-20, ORDER EXECUTED, sz000063, 36.18, Size: -295
2024-12-27, ORDER EXECUTED, sz000708, 10.97, Size: 878
2025-03-10, ORDER EXECUTED, sz000807, 18.08, Size: -552
2025-06-03, ORDER EXECUTED, sz000963, 43.67, Size: -229
2025-06-23, ORDER EXECUTED, sz000002, 6.26, Size: 1463
2025-06-24, ORDER EXECUTED, sz000001, 11.66, Size: -795
2025-06-25, ORDER EXECUTED, sz000408, 41.04, Size: -237
2025-07-25, ORDER EXECUTED, sz002736, 14.18, Size: -784
2025-08-14, ORDER EXECUTED, sz000776, 20.44, Size: -516
2025-08-26, ORDER EXECUTED, sz000625, 13.04, Size: 876
2025-08-28, ORDER EXECUTED, sz002916, 173.48, Size: -75
2025-09-22, ORDER EXECUTED, sz002709, 30.93, Size: -349
2025-09-30, ORDER EXECUTED, sz000338, 13.56, Size: 822
2025-10-09, ORDER EXECUTED, sz000425, 11.45, Size: -1087
2025-11-11, ORDER EXECUTED, sz002709, 43.45, Size: -263
2025-12-05, ORDER EXECUTED, sz000002, 4.94, Size: 2269
2025-12-08, ORDER EXECUTED, sz000408, 68.58, Size: -167
2025-12-19, ORDER EXECUTED, sz000596, 142.51, Size: 79
2025-12-22, ORDER EXECUTED, sz000807, 29.28, Size: -404
