iter	backtest_id	status	annual_return	max_drawdown	sharpe	score	decision	mutation	robust_score	recent6	recent12	prior12	full24	sensitivity	trade_count	complexity	reason
0001		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-001 round:1	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	8	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0002	jqka_1776861155805	stage_a_fail	0.0692	0.1100	0.2793	-0.151494	rollback	tree_run:run-001 round:2 | [替换条件] 毛利率大于30% → 经营活动产生的现金流量净额连续三年为正	0.000000	-0.324401	-0.151494	0.000000	0.000000	0.0000	113	9	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0003	jqka_1776861157309	ok	3.0000	0.1400	1.5083	1.157368	keep	tree_run:run-001 round:3 | [添加条件] 经营活动产生的现金流量净额连续三年为正	1.144265	1.148387	1.157368	1.095300	0.819705	0.1136	57	10	first version, automatically champion
0004	jqka_1776861175955	ok	2.0000	0.0900	1.0869	1.151064	rollback	tree_run:run-001 round:4 | [替换条件] 经营活动产生的现金流量净额连续三年为正 → PEG小于1	0.941294	0.411311	1.151064	1.148571	1.147847	0.1156	357	10	robust_score 0.9413 <= champion 1.1443 (diff=-0.2030)
0005	jqka_1776861191602	ok	3.0000	0.1400	1.5083	1.157368	rollback	tree_run:run-001 round:5 | [细调阈值] 毛利率 30.0 → 28	1.145016	1.148387	1.157368	1.100302	0.819705	0.0000	64	10	robust_score 1.1450 <= champion 1.1443 (diff=0.0008)
0006	jqka_1776861233228	ok	10.0000	0.1600	3.6818	0.948663	rollback	tree_run:run-001 round:6 | [添加条件] 净利润增长率大于25%	0.961802	0.912637	0.948663	1.148044	1.147861	0.1366	16	11	recent_12m trade_count 16 < 20
0007	jqka_1776861251415	stage_c_fail	0.1903	0.1000	0.7851	0.222433	rollback	tree_run:run-001 round:7 | [添加条件] 成交额大于2594万	0.000000	0.081499	0.222433	0.000000	0.000000	0.6227	301	11	good_ratio=1.00, floor_ok=True, sensitivity=0.6227, anchor=0.2224
0008	jqka_1776861266651	stage_a_fail	-0.1779	0.0200	-0.3932	-4.343571	rollback	tree_run:run-001 round:8 | [添加条件] 换手率大于18%	0.000000	-3.104598	-4.343571	0.000000	0.000000	0.0000	4	11	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0009	jqka_1776861269584	stage_a_fail	-0.0532	0.1400	-0.2244	-0.465096	rollback	tree_run:run-001 round:9 | [添加条件] 流通市值小于31亿	0.000000	-0.471115	-0.465096	0.000000	0.000000	0.0000	62	11	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0010	jqka_1776861270880	ok	3.0000	0.1400	1.5083	1.157368	rollback	tree_run:run-001 round:10 | [细调阈值] 毛利率 30.0 → 29	1.145016	1.148387	1.157368	1.100302	0.819705	0.0000	60	10	robust_score 1.1450 <= champion 1.1443 (diff=0.0008)
0011	jqka_1776861307317	stage_c_fail	3.0000	0.1400	1.7303	1.156316	rollback	tree_run:run-001 round:11 | [添加条件] 净资产收益率大于5%	0.000000	-0.207305	1.156316	0.000000	0.000000	0.2473	52	11	good_ratio=0.90, floor_ok=False, sensitivity=0.2473, anchor=1.1563
0012	jqka_1776861320649	ok	0.2084	0.1400	0.5534	0.095364	rollback	tree_run:run-001 round:12 | [添加条件] 换手率大于3%	0.385184	1.153289	0.095364	0.559978	0.094390	0.5256	125	11	robust_score 0.3852 <= champion 1.1443 (diff=-0.7591)
0013	jqka_1776861339524	ok	2.0000	0.1000	1.1165	1.152083	rollback	tree_run:run-001 round:13 | [添加条件] 上市时间大于342天	0.448371	0.081499	1.152083	-0.083683	-0.138870	0.1152	313	11	robust_score 0.4484 <= champion 1.1443 (diff=-0.6959)
0014	jqka_1776861385468	ok	3.0000	0.1400	1.5725	1.154737	rollback	tree_run:run-001 round:14 | [替换条件] 营业收入增长率大于15% → 净利润增长率大于20%	0.365026	-0.169568	1.154737	-0.024673	-0.173876	0.1144	413	10	robust_score 0.3650 <= champion 1.1443 (diff=-0.7792)
0015	jqka_1776861400928	ok	2.0000	0.1000	1.1165	1.152083	rollback	tree_run:run-001 round:15 | [添加条件] 市盈率小于92	0.448371	0.081499	1.152083	-0.083683	-0.138870	0.1153	264	11	robust_score 0.4484 <= champion 1.1443 (diff=-0.6959)
0016	jqka_1776861450231	stage_a_fail	-0.2160	0.0800	-0.8055	-3.380537	rollback	tree_run:run-001 round:16 | [添加条件] 净资产收益率大于25%	0.000000	-3.942774	-3.380537	0.000000	0.000000	0.0000	6	11	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0017	jqka_1776861452450	ok	6.0000	0.1400	2.2217	1.151118	rollback	tree_run:run-001 round:17 | [细调阈值] 毛利率 30.0 → 32	0.676012	-0.346599	1.151118	1.147656	1.148549	0.0000	49	10	robust_score 0.6760 <= champion 1.1443 (diff=-0.4683)
