date,code,weight,score,rank
2021-01-04,000001.XSHE,0.028571,0.028571,1
2021-01-04,000002.XSHE,0.028571,0.028571,2
2021-01-04,000063.XSHE,0.028571,0.028571,3
2021-01-04,000100.XSHE,0.028571,0.028571,4
2021-01-04,000157.XSHE,0.028571,0.028571,5
2021-01-04,000166.XSHE,0.028571,0.028571,6
2021-01-04,000301.XSHE,0.028571,0.028571,7
2021-01-04,000333.XSHE,0.028571,0.028571,8
2021-01-04,000338.XSHE,0.028571,0.028571,9
2021-01-04,000408.XSHE,0.028571,0.028571,10
2021-01-04,000425.XSHE,0.028571,0.028571,11
2021-01-04,000538.XSHE,0.028571,0.028571,12
2021-01-04,000568.XSHE,0.028571,0.028571,13
2021-01-04,000596.XSHE,0.028571,0.028571,14
2021-01-04,000617.XSHE,0.028571,0.028571,15
2021-01-04,000625.XSHE,0.028571,0.028571,16
2021-01-04,000630.XSHE,0.028571,0.028571,17
2021-01-04,000651.XSHE,0.028571,0.028571,18
2021-01-04,000661.XSHE,0.028571,0.028571,19
2021-01-04,000708.XSHE,0.028571,0.028571,20
2021-01-04,000725.XSHE,0.028571,0.028571,21
2021-01-04,000768.XSHE,0.028571,0.028571,22
2021-01-04,000776.XSHE,0.028571,0.028571,23
2021-01-04,000786.XSHE,0.028571,0.028571,24
2021-01-04,000792.XSHE,0.028571,0.028571,25
2021-01-04,000807.XSHE,0.028571,0.028571,26
2021-01-04,000858.XSHE,0.028571,0.028571,27
2021-01-04,000876.XSHE,0.028571,0.028571,28
2021-01-04,000895.XSHE,0.028571,0.028571,29
2021-01-04,000938.XSHE,0.028571,0.028571,30
2021-01-04,000963.XSHE,0.028571,0.028571,31
2021-01-04,002709.XSHE,0.028571,0.028571,32
2021-01-04,002714.XSHE,0.028571,0.028571,33
2021-01-04,002736.XSHE,0.028571,0.028571,34
2021-01-04,002916.XSHE,0.028571,0.028571,35
2021-01-05,000001.XSHE,0.028571,0.028571,1
2021-01-05,000002.XSHE,0.028571,0.028571,2
2021-01-05,000063.XSHE,0.028571,0.028571,3
2021-01-05,000100.XSHE,0.028571,0.028571,4
2021-01-05,000157.XSHE,0.028571,0.028571,5
2021-01-05,000166.XSHE,0.028571,0.028571,6
2021-01-05,000301.XSHE,0.028571,0.028571,7
2021-01-05,000333.XSHE,0.028571,0.028571,8
2021-01-05,000338.XSHE,0.028571,0.028571,9
2021-01-05,000408.XSHE,0.028571,0.028571,10
2021-01-05,000425.XSHE,0.028571,0.028571,11
2021-01-05,000538.XSHE,0.028571,0.028571,12
2021-01-05,000568.XSHE,0.028571,0.028571,13
2021-01-05,000596.XSHE,0.028571,0.028571,14
2021-01-05,000617.XSHE,0.028571,0.028571,15
2021-01-05,000625.XSHE,0.028571,0.028571,16
2021-01-05,000630.XSHE,0.028571,0.028571,17
2021-01-05,000651.XSHE,0.028571,0.028571,18
2021-01-05,000661.XSHE,0.028571,0.028571,19
2021-01-05,000708.XSHE,0.028571,0.028571,20
2021-01-05,000725.XSHE,0.028571,0.028571,21
2021-01-05,000768.XSHE,0.028571,0.028571,22
2021-01-05,000776.XSHE,0.028571,0.028571,23
2021-01-05,000786.XSHE,0.028571,0.028571,24
2021-01-05,000792.XSHE,0.028571,0.028571,25
2021-01-05,000807.XSHE,0.028571,0.028571,26
2021-01-05,000858.XSHE,0.028571,0.028571,27
2021-01-05,000876.XSHE,0.028571,0.028571,28
2021-01-05,000895.XSHE,0.028571,0.028571,29
2021-01-05,000938.XSHE,0.028571,0.028571,30
2021-01-05,000963.XSHE,0.028571,0.028571,31
2021-01-05,002709.XSHE,0.028571,0.028571,32
2021-01-05,002714.XSHE,0.028571,0.028571,33
2021-01-05,002736.XSHE,0.028571,0.028571,34
2021-01-05,002916.XSHE,0.028571,0.028571,35
2021-01-06,000001.XSHE,0.028571,0.028571,1
2021-01-06,000002.XSHE,0.028571,0.028571,2
2021-01-06,000063.XSHE,0.028571,0.028571,3
2021-01-06,000100.XSHE,0.028571,0.028571,4
2021-01-06,000157.XSHE,0.028571,0.028571,5
2021-01-06,000166.XSHE,0.028571,0.028571,6
2021-01-06,000301.XSHE,0.028571,0.028571,7
2021-01-06,000333.XSHE,0.028571,0.028571,8
2021-01-06,000338.XSHE,0.028571,0.028571,9
2021-01-06,000408.XSHE,0.028571,0.028571,10
2021-01-06,000425.XSHE,0.028571,0.028571,11
2021-01-06,000538.XSHE,0.028571,0.028571,12
2021-01-06,000568.XSHE,0.028571,0.028571,13
2021-01-06,000596.XSHE,0.028571,0.028571,14
2021-01-06,000617.XSHE,0.028571,0.028571,15
2021-01-06,000625.XSHE,0.028571,0.028571,16
2021-01-06,000630.XSHE,0.028571,0.028571,17
2021-01-06,000651.XSHE,0.028571,0.028571,18
2021-01-06,000661.XSHE,0.028571,0.028571,19
2021-01-06,000708.XSHE,0.028571,0.028571,20
2021-01-06,000725.XSHE,0.028571,0.028571,21
2021-01-06,000768.XSHE,0.028571,0.028571,22
2021-01-06,000776.XSHE,0.028571,0.028571,23
2021-01-06,000786.XSHE,0.028571,0.028571,24
2021-01-06,000792.XSHE,0.028571,0.028571,25
2021-01-06,000807.XSHE,0.028571,0.028571,26
2021-01-06,000858.XSHE,0.028571,0.028571,27
2021-01-06,000876.XSHE,0.028571,0.028571,28
2021-01-06,000895.XSHE,0.028571,0.028571,29
2021-01-06,000938.XSHE,0.028571,0.028571,30
2021-01-06,000963.XSHE,0.028571,0.028571,31
2021-01-06,002709.XSHE,0.028571,0.028571,32
2021-01-06,002714.XSHE,0.028571,0.028571,33
2021-01-06,002736.XSHE,0.028571,0.028571,34
2021-01-06,002916.XSHE,0.028571,0.028571,35
2021-01-07,000001.XSHE,0.028571,0.028571,1
2021-01-07,000002.XSHE,0.028571,0.028571,2
2021-01-07,000063.XSHE,0.028571,0.028571,3
2021-01-07,000100.XSHE,0.028571,0.028571,4
2021-01-07,000157.XSHE,0.028571,0.028571,5
2021-01-07,000166.XSHE,0.028571,0.028571,6
2021-01-07,000301.XSHE,0.028571,0.028571,7
2021-01-07,000333.XSHE,0.028571,0.028571,8
2021-01-07,000338.XSHE,0.028571,0.028571,9
2021-01-07,000408.XSHE,0.028571,0.028571,10
2021-01-07,000425.XSHE,0.028571,0.028571,11
2021-01-07,000538.XSHE,0.028571,0.028571,12
2021-01-07,000568.XSHE,0.028571,0.028571,13
2021-01-07,000596.XSHE,0.028571,0.028571,14
2021-01-07,000617.XSHE,0.028571,0.028571,15
